component,period,entity_type,event_type,latest_flag,count,source_scope,identification_status
full_history_monthly,2024-05,corporation,expiration,,1609,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-05,corporation,registration,,11099,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-05,individual,expiration,,3464,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-05,individual,registration,,11796,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-05,unincorporated_association,expiration,,8,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-05,unincorporated_association,registration,,67,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-06,corporation,cancellation,,481,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-06,corporation,expiration,,2193,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-06,corporation,registration,,10259,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-06,individual,expiration,,3493,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-06,individual,registration,,10642,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-06,unincorporated_association,expiration,,11,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-06,unincorporated_association,registration,,46,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-07,corporation,cancellation,,185,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-07,corporation,expiration,,2343,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-07,corporation,registration,,11143,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-07,individual,expiration,,3780,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-07,individual,registration,,9411,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-07,unincorporated_association,expiration,,11,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-07,unincorporated_association,registration,,55,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-08,corporation,cancellation,,123,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-08,corporation,expiration,,2363,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-08,corporation,registration,,8956,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-08,individual,expiration,,3151,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-08,individual,registration,,7483,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-08,unincorporated_association,expiration,,4,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-08,unincorporated_association,registration,,22,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-09,corporation,cancellation,,133,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-09,corporation,expiration,,2410,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-09,corporation,registration,,8609,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-09,individual,cancellation,,1,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-09,individual,expiration,,3070,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-09,individual,registration,,7252,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-09,unincorporated_association,expiration,,9,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-09,unincorporated_association,registration,,21,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-10,corporation,cancellation,,220,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-10,corporation,expiration,,2941,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-10,corporation,registration,,9975,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-10,individual,expiration,,3634,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-10,individual,registration,,7833,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-10,unincorporated_association,expiration,,6,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-10,unincorporated_association,registration,,28,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-11,corporation,cancellation,,114,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-11,corporation,expiration,,2515,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-11,corporation,registration,,8271,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-11,individual,expiration,,3231,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-11,individual,registration,,7160,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-11,unincorporated_association,expiration,,7,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-11,unincorporated_association,registration,,14,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-12,corporation,cancellation,,141,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
