decile,scenario,nuisance_income_scale,pseudo_filer_weighted_mean_MTR,taxable_income_weighted_mean_MTR,income_tax_liability_weighted_mean_MTR,pseudo_positive_modeled_annual_income_tax_share,continuous_proxy_fit_error_kY,exact_statutory_rounding_gap_kY,MTR_status,model_status,input_source_ids,pseudo_filer_share_MTR_0p0,pseudo_filer_share_MTR_0p05,pseudo_filer_share_MTR_0p1,pseudo_filer_share_MTR_0p2,pseudo_filer_share_MTR_0p23,pseudo_filer_share_MTR_0p33,pseudo_filer_share_MTR_0p4,pseudo_filer_share_MTR_0p45
2,nta_salary_social,0.937378663389,0.0172811059908,0.05,0.05,0.345622119816,8.881784197e-16,-0.00877767783002,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.654377880184,0.345622119816,0,0,0,0,0,0
2,nta_salary_dependents,1.01489281026,0.0172811059908,0.05,0.05,0.345622119816,8.881784197e-16,-0.00770708530629,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.654377880184,0.345622119816,0,0,0,0,0,0
2,pension_head_merge,0.92356170802,0.0289413118527,0.05,0.05,0.578826237054,1.7763568394e-15,-0.00449430523158,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.421173762946,0.578826237054,0,0,0,0,0,0
2,pension_age_split_separate,0.970831765059,0.0180805176132,0.05,0.05,0.361610352265,0,-0.0118097618425,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.638389647735,0.361610352265,0,0,0,0,0,0
2,pension_member_split,0.993410628191,0.0172612197929,0.05,0.05,0.345224395857,8.881784197e-16,-0.00531550019651,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.654775604143,0.345224395857,0,0,0,0,0,0
2,pension_member_split_f71551,0.993410628191,0.0172612197929,0.05,0.05,0.345224395857,8.881784197e-16,-0.00531550019651,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.654775604143,0.345224395857,0,0,0,0,0,0
3,central,0.858567176061,0.0177555321391,0.05,0.05,0.355110642782,1.7763568394e-15,-0.00884267090057,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.644889357218,0.355110642782,0,0,0,0,0,0
3,f71911_topcode10,0.857095916125,0.0177555321391,0.05,0.05,0.355110642782,8.881784197e-16,-0.00346123407639,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.644889357218,0.355110642782,0,0,0,0,0,0
3,size_lower,0.872366979223,0.0177555321391,0.05,0.05,0.355110642782,8.881784197e-16,-0.00576913858099,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.644889357218,0.355110642782,0,0,0,0,0,0
3,size_upper,0.746039031998,0.0119773519164,0.05,0.05,0.239547038328,8.881784197e-16,-0.00293199010284,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.760452961672,0.239547038328,0,0,0,0,0,0
3,business_proportional,0.892544754402,0.00782992565056,0.05,0.05,0.156598513011,8.881784197e-16,-0.00886963290603,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.843401486989,0.156598513011,0,0,0,0,0,0
3,other_wage_split2,0.858567176061,0.0177555321391,0.05,0.05,0.355110642782,1.7763568394e-15,-0.00884267090057,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.644889357218,0.355110642782,0,0,0,0,0,0
3,no_social_deduction_proxy,0.701354044831,0.0177555321391,0.05,0.05,0.355110642782,8.881784197e-16,-0.00810021768279,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.644889357218,0.355110642782,0,0,0,0,0,0
