decile,decile_code,decile_label,reported_item,income_component_code,income_component_label,unit,raw_value,numeric_value,missing_marker,source_cell,source_row,source_column,source_id,source_stat_inf_id,source_file,source_sha256
9,R09,R09_十分位9,等価年間収入額,212,事業・内職収入,千円,590,590,,AK15,15,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
10,R10,R10_十分位10,等価年間収入額,212,事業・内職収入,千円,1959,1959,,AL15,15,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,2121,農林漁業収入,千円,17,17,,AC16,16,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,2121,農林漁業収入,千円,18,18,,AD16,16,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,等価年間収入額,2121,農林漁業収入,千円,19,19,,AE16,16,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,等価年間収入額,2121,農林漁業収入,千円,18,18,,AF16,16,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,等価年間収入額,2121,農林漁業収入,千円,27,27,,AG16,16,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,2121,農林漁業収入,千円,24,24,,AH16,16,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,等価年間収入額,2121,農林漁業収入,千円,29,29,,AI16,16,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,等価年間収入額,2121,農林漁業収入,千円,40,40,,AJ16,16,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
9,R09,R09_十分位9,等価年間収入額,2121,農林漁業収入,千円,57,57,,AK16,16,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
10,R10,R10_十分位10,等価年間収入額,2121,農林漁業収入,千円,181,181,,AL16,16,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,2122,農林漁業以外の事業収入,千円,119,119,,AC17,17,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,2122,農林漁業以外の事業収入,千円,176,176,,AD17,17,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,等価年間収入額,2122,農林漁業以外の事業収入,千円,156,156,,AE17,17,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,等価年間収入額,2122,農林漁業以外の事業収入,千円,194,194,,AF17,17,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,等価年間収入額,2122,農林漁業以外の事業収入,千円,202,202,,AG17,17,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,2122,農林漁業以外の事業収入,千円,243,243,,AH17,17,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,等価年間収入額,2122,農林漁業以外の事業収入,千円,239,239,,AI17,17,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,等価年間収入額,2122,農林漁業以外の事業収入,千円,312,312,,AJ17,17,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
9,R09,R09_十分位9,等価年間収入額,2122,農林漁業以外の事業収入,千円,391,391,,AK17,17,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
10,R10,R10_十分位10,等価年間収入額,2122,農林漁業以外の事業収入,千円,1212,1212,,AL17,17,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,2123,家賃・地代,千円,13,13,,AC18,18,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,2123,家賃・地代,千円,18,18,,AD18,18,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,等価年間収入額,2123,家賃・地代,千円,20,20,,AE18,18,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,等価年間収入額,2123,家賃・地代,千円,31,31,,AF18,18,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,等価年間収入額,2123,家賃・地代,千円,31,31,,AG18,18,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,2123,家賃・地代,千円,39,39,,AH18,18,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
