decile,decile_code,decile_label,asset_class,reported_item,income_component_code,income_component_label,unit,household_type_code,household_type,household_type_label,raw_value,numeric_value,missing_marker,source_cell,source_row,source_column,source_id,source_stat_inf_id,source_file,source_sha256
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R111,R111_無業,無業,1027,1027,,AJ34065,34065,AJ,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R112,R112_有業,有業,1281,1281,,AK34065,34065,AK,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R12,R12_大人１人と子供の世帯,大人１人と子供の世帯,1151,1151,,AL34065,34065,AL,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R121,R121_無業,無業,1005,1005,,AM34065,34065,AM,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R122,R122_有業,有業,1196,1196,,AN34065,34065,AN,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R13,R13_２人以上の大人のみの世帯,２人以上の大人のみの世帯,1363,1363,,AO34065,34065,AO,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R131,R131_有業者なし,有業者なし,1135,1135,,AP34065,34065,AP,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R132,R132_有業者１人,有業者１人,1396,1396,,AQ34065,34065,AQ,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R133,R133_有業者２人以上,有業者２人以上,1533,1533,,AR34065,34065,AR,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R14,R14_大人２人以上と子供の世帯,大人２人以上と子供の世帯,1421,1421,,AS34065,34065,AS,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
